Altium Designer Pick and Place Locations
C:\Users\jarod\AppData\Local\TempReleases\Snapshot\1\Assembly\Assembly\Pick Place\Pick Place for Remora3 Dual-Band - PCB V0.2A.txt

========================================================================================================================
File Design Information:

Date:       07/06/24
Time:       10:54
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator   Comment                    Layer       Footprint                                       Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                                        "1st Vendor Part No"       
C74          "1uF 10V"                  TopLayer    C-0402                                          147.7117     251.6938     180      "1uF 10V Chip Cap 0402, X5R ±10%"                                                                                                                                  CL05A105KP5NNNC            
C73          "220nF 16V"                TopLayer    C-0402                                          150.5671     248.2500     90       "220nF 16V Chip Cap 0402, X7R ±10%"                                                                                                                                CL05B224KO5NNNC            
C70          "22uF 10V"                 TopLayer    C-0603                                          139.2504     245.0698     270      "22uF 10V Chip Cap 0603, X5R ±20%"                                                                                                                                 CL10A226MP8NUNE            
C69          "22uF 10V"                 TopLayer    C-0603                                          139.2504     243.7898     270      "22uF 10V Chip Cap 0603, X5R ±20%"                                                                                                                                 CL10A226MP8NUNE            
C68          "100nF 50V"                TopLayer    C-0402                                          136.2681     245.0448     270      "100nF 50V Chip Cap 0402, X7R ±10%"                                                                                                                                CL05B104KB54PNC            
C67          "33pF 50V"                 TopLayer    C-0402                                          136.2681     244.0648     270      "33pF 50V Chip Cap 0402, C0G/NP0 ±5%"                                                                                                                              CL05C330JB5NNNC            
C66          "33pF 50V"                 TopLayer    C-0402                                          133.1358     247.2258     270      "33pF 50V Chip Cap 0402, C0G/NP0 ±5%"                                                                                                                              CL05C330JB5NNNC            
C65          "22uF 10V"                 TopLayer    C-0603                                          133.5858     245.9872     90       "22uF 10V Chip Cap 0603, X5R ±20%"                                                                                                                                 CL10A226MP8NUNE            
C64          "10pF 50V"                 TopLayer    C-0402                                          134.0358     251.7793     270      "10pF 50V Chip Cap 0402, C0G/NP0 ±5%"                                                                                                                              CL05C100JB5NNNC            
C63          "33pF 50V"                 TopLayer    C-0402                                          134.0358     250.8041     270      "33pF 50V Chip Cap 0402, C0G/NP0 ±5%"                                                                                                                              CL05C330JB5NNNC            
C62          "22uF 10V"                 TopLayer    C-0603                                          133.5858     249.5610     90       "22uF 10V Chip Cap 0603, X5R ±20%"                                                                                                                                 CL10A226MP8NUNE            
C61          "22uF 10V"                 TopLayer    C-0603                                          137.7960     251.7393     270      "22uF 10V Chip Cap 0603, X5R ±20%"                                                                                                                                 CL10A226MP8NUNE            
C60          "1uF 10V"                  TopLayer    C-0402                                          144.8889     251.6938     180      "1uF 10V Chip Cap 0402, X5R ±10%"                                                                                                                                  CL05A105KP5NNNC            
C59          "2.2uF 10V"                TopLayer    C-0402                                          143.0570     249.6520     270      "2.2uF 10V Chip Cap 0402, X5R ±10%"                                                                                                                                CL05A225KP5NNNC            
C58          "100nF 50V"                TopLayer    C-0402                                          145.7500     244.1204     0        "100nF 50V Chip Cap 0402, X7R ±10%"                                                                                                                                CL05B104KB54PNC            
C57          "33pF 50V"                 TopLayer    C-0402                                          144.6876     244.1204     0        "33pF 50V Chip Cap 0402, C0G/NP0 ±5%"                                                                                                                              CL05C330JB5NNNC            
C56          "4.7uF 6.3V"               TopLayer    C-0402                                          142.6320     244.1204     180      "4.7uF 6.3V Chip Cap 0402, X5R ±10%"                                                                                                                               CL05A475KQ5NRNC            
C55          "100nF 50V"                TopLayer    C-0402                                          171.1250     217.4000     270      "100nF 50V Chip Cap 0402, X7R ±10%"                                                                                                                                CL05B104KB54PNC            
C54          "33pF 50V"                 TopLayer    C-0402                                          178.3180     221.6240     270      "33pF 50V Chip Cap 0402, C0G/NP0 ±5%"                                                                                                                              CL05C330JB5NNNC            
C53          "33pF 50V"                 TopLayer    C-0402                                          168.9240     219.9040     0        "33pF 50V Chip Cap 0402, C0G/NP0 ±5%"                                                                                                                              CL05C330JB5NNNC            
C52          "33pF 50V"                 TopLayer    C-0402                                          168.9085     222.0740     180      "33pF 50V Chip Cap 0402, C0G/NP0 ±5%"                                                                                                                              CL05C330JB5NNNC            
C51          "100nF 50V"                TopLayer    C-0402                                          174.5000     256.9627     0        "100nF 50V Chip Cap 0402, X7R ±10%"                                                                                                                                CL05B104KB54PNC            
C50          "100nF 50V"                TopLayer    C-0402                                          178.1000     256.9627     0        "100nF 50V Chip Cap 0402, X7R ±10%"                                                                                                                                CL05B104KB54PNC            
C49          "8.2pF 50V"                TopLayer    C-0402                                          200.7827     228.7525     90       "8.2pF 50V Chip Cap 0402, C0G/NP0 ±0.1pF"                                                                                                                          GJM1555C1H8R2BB01D         
C48          "15pF 50V"                 TopLayer    C-0402                                          200.7827     229.8525     90       "15pF 50V Chip Cap 0402, C0G/NP0 ±5%"                                                                                                                              CL05C150JB5NNNC            
C47          "56pF 50V"                 TopLayer    C-0402                                          200.7827     227.6900     90       "56pF 50V Chip Cap 0402, C0G/NP0 ±2%"                                                                                                                              GRM1555C1H560GA01D         
C46          "10nF 50V"                 TopLayer    C-0402                                          200.7827     225.5525     90       "10nF 50V Chip Cap 0402, X7R ±20%"                                                                                                                                 C0402C103M5RAC7867         
C45          "100nF 50V"                TopLayer    C-0402                                          200.7827     226.6265     90       "100nF 50V Chip Cap 0402, X7R ±10%"                                                                                                                                CL05B104KB54PNC            
C41          "10pF 50V"                 TopLayer    C-0402                                          158.5000     244.2976     90       "10pF 50V Chip Cap 0402, C0G/NP0 ±5%"                                                                                                                              CL05C100JB5NNNC            
C40          "33pF 50V"                 TopLayer    C-0402                                          156.6000     244.2976     270      "33pF 50V Chip Cap 0402, C0G/NP0 ±5%"                                                                                                                              CL05C330JB5NNNC            
C39          "22uF 10V"                 TopLayer    C-0603                                          170.7871     254.4464     270      "22uF 10V Chip Cap 0603, X5R ±20%"                                                                                                                                 CL10A226MP8NUNE            
C37          "22uF 10V"                 TopLayer    C-0603                                          172.5191     256.6337     180      "22uF 10V Chip Cap 0603, X5R ±20%"                                                                                                                                 CL10A226MP8NUNE            
C36          "100nF 50V"                TopLayer    C-0402                                          190.7278     257.0837     0        "100nF 50V Chip Cap 0402, X7R ±10%"                                                                                                                                CL05B104KB54PNC            
C35          "10uF 6.3V"                TopLayer    C-0603                                          189.5232     256.6337     180      "10uF 6.3V Chip Cap 0603, X5R ±10%"                                                                                                                                CL10A106KQ8NNNC            
C34          "10uF 6.3V"                TopLayer    C-0603                                          193.1140     256.6337     180      "10uF 6.3V Chip Cap 0603, X5R ±10%"                                                                                                                                CL10A106KQ8NNNC            
C33          "10uF 6.3V"                TopLayer    C-0603                                          164.9755     220.6896     0        "10uF 6.3V Chip Cap 0603, X5R ±10%"                                                                                                                                CL10A106KQ8NNNC            
C32          "100nF 50V"                TopLayer    C-0402                                          167.1999     220.2396     180      "100nF 50V Chip Cap 0402, X7R ±10%"                                                                                                                                CL05B104KB54PNC            
C31          "33pF 50V"                 TopLayer    C-0402                                          166.1434     220.2396     180      "33pF 50V Chip Cap 0402, C0G/NP0 ±5%"                                                                                                                              CL05C330JB5NNNC            
C30          "1uF 10V"                  TopLayer    C-0402                                          175.3180     213.8272     90       "1uF 10V Chip Cap 0402, X5R ±10%"                                                                                                                                  CL05A105KP5NNNC            
C29          "100nF 50V"                TopLayer    C-0402                                          174.3430     215.4772     180      "100nF 50V Chip Cap 0402, X7R ±10%"                                                                                                                                CL05B104KB54PNC            
C28          "22uF 25V"                 TopLayer    C-0805                                          171.8000     214.2522     90       "22uF 25V Chip Cap 0805, X5R ±20%"                                                                                                                                 CL21A226MAYNNNE            
C27          "47nF 50V"                 TopLayer    C-0402                                          190.8057     217.6000     90       "47nF 50V Chip Cap 0402, X7R ±10%"                                                                                                                                 CL05B473KB5VPNC            
C26          "22uF 10V"                 TopLayer    C-0603                                          185.3091     217.7500     180      "22uF 10V Chip Cap 0603, X5R ±20%"                                                                                                                                 CL10A226MP8NUNE            
C25          "22uF 10V"                 TopLayer    C-0603                                          183.9091     217.7500     180      "22uF 10V Chip Cap 0603, X5R ±20%"                                                                                                                                 CL10A226MP8NUNE            
C24          "100nF 50V"                TopLayer    C-0402                                          186.5436     218.2000     0        "100nF 50V Chip Cap 0402, X7R ±10%"                                                                                                                                CL05B104KB54PNC            
C23          "22uF 25V"                 TopLayer    C-0805                                          187.1602     214.2533     90       "22uF 25V Chip Cap 0805, X5R ±20%"                                                                                                                                 CL21A226MAYNNNE            
C22          "100nF 50V"                TopLayer    C-0402                                          188.0352     215.7482     270      "100nF 50V Chip Cap 0402, X7R ±10%"                                                                                                                                CL05B104KB54PNC            
C21          "22uF 10V"                 TopLayer    C-0603                                          180.2169     222.3390     0        "22uF 10V Chip Cap 0603, X5R ±20%"                                                                                                                                 CL10A226MP8NUNE            
C20          "22uF 10V"                 TopLayer    C-0603                                          181.6888     222.3390     0        "22uF 10V Chip Cap 0603, X5R ±20%"                                                                                                                                 CL10A226MP8NUNE            
C19          "100nF 50V"                TopLayer    C-0402                                          178.3180     217.8272     270      "100nF 50V Chip Cap 0402, X7R ±10%"                                                                                                                                CL05B104KB54PNC            
C18          "33pF 50V"                 TopLayer    C-0402                                          178.3180     218.9272     90       "33pF 50V Chip Cap 0402, C0G/NP0 ±5%"                                                                                                                              CL05C330JB5NNNC            
C17          "33pF 50V"                 TopLayer    C-0402                                          179.7173     213.8272     90       "33pF 50V Chip Cap 0402, C0G/NP0 ±5%"                                                                                                                              CL05C330JB5NNNC            
C16          "100nF 50V"                TopLayer    C-0402                                          178.1268     216.0272     180      "100nF 50V Chip Cap 0402, X7R ±10%"                                                                                                                                CL05B104KB54PNC            
C15          "100pF 50V"                TopLayer    C-0402                                          143.0818     223.0184     180      "100pF 50V Chip Cap 0402, C0G/NP0 ±5%"                                                                                                                             CL05C101JB5NNNC            
C14          "22uF 25V"                 TopLayer    C-0805                                          144.0726     229.1107     90       "22uF 25V Chip Cap 0805, X5R ±20%"                                                                                                                                 CL21A226MAYNNNE            
C13          "33pF 50V"                 TopLayer    C-0402                                          139.8385     227.3107     180      "33pF 50V Chip Cap 0402, C0G/NP0 ±5%"                                                                                                                              CL05C330JB5NNNC            
C12          "22uF 25V"                 TopLayer    C-0805                                          141.3190     228.1857     0        "22uF 25V Chip Cap 0805, X5R ±20%"                                                                                                                                 CL21A226MAYNNNE            
C11          "100nF 50V"                TopLayer    C-0402                                          138.0000     236.2850     180      "100nF 50V Chip Cap 0402, X7R ±10%"                                                                                                                                CL05B104KB54PNC            
C10          "15pF 50V"                 TopLayer    C-0402                                          147.1901     220.5628     90       "15pF 50V Chip Cap 0402, C0G/NP0 ±5%"                                                                                                                              CL05C150JB5NNNC            
C9           "15pF 50V"                 TopLayer    C-0402                                          147.1541     219.1628     90       "15pF 50V Chip Cap 0402, C0G/NP0 ±5%"                                                                                                                              CL05C150JB5NNNC            
C8           "1uF 10V"                  TopLayer    C-0402                                          149.4401     215.5301     0        "1uF 10V Chip Cap 0402, X5R ±10%"                                                                                                                                  CL05A105KP5NNNC            
C7           "100nF 50V"                TopLayer    C-0402                                          148.4084     215.5301     0        "100nF 50V Chip Cap 0402, X7R ±10%"                                                                                                                                CL05B104KB54PNC            
C6           "100nF 50V"                TopLayer    C-0402                                          147.3768     215.5301     0        "100nF 50V Chip Cap 0402, X7R ±10%"                                                                                                                                CL05B104KB54PNC            
C5           "100nF 50V"                TopLayer    C-0402                                          161.1982     214.1020     90       "100nF 50V Chip Cap 0402, X7R ±10%"                                                                                                                                CL05B104KB54PNC            
C4           "10uF 6.3V"                TopLayer    C-0603                                          150.4060     223.0251     90       "10uF 6.3V Chip Cap 0603, X5R ±10%"                                                                                                                                CL10A106KQ8NNNC            
C3           "100nF 50V"                TopLayer    C-0402                                          161.2819     224.1496     90       "100nF 50V Chip Cap 0402, X7R ±10%"                                                                                                                                CL05B104KB54PNC            
C2           "10uF 6.3V"                TopLayer    C-0603                                          161.7319     223.0251     270      "10uF 6.3V Chip Cap 0603, X5R ±10%"                                                                                                                                CL10A106KQ8NNNC            
C1           "100nF 50V"                TopLayer    C-0402                                          150.8560     224.1496     270      "100nF 50V Chip Cap 0402, X7R ±10%"                                                                                                                                CL05B104KB54PNC            
ANT1         1004795                    BottomLayer 1004795-Footprint-1                             209.2863     231.2770     0        "Universal Broadband FR4 Embedded LTE / LPWA Antenna"                                                                                                              1004795                    
